# Cash Shop catalogue, generated from Etc.wz/Commodity.img.xml
# itemId	price	count	tab	category	period	gender	name
1002000	300	1	1	0	14	2	Phil
1002015	300	1	1	0	14	2	Red Swimming Goggle
1002187	300	1	1	0	14	2	Blue Cowboy Hat
1002292	300	1	1	0	14	2	Pink Frill Pajama Hat
1042018	300	1	1	0	14	2	Red T-Shirt w/ Heart
1042024	300	1	1	0	14	2	Red Polka-Dot Pajama Top
1050050	300	1	1	0	14	2	Dark Suit
1022001	300	1	1	0	14	2	Regular Cab
1022015	300	1	1	0	14	2	Black Aviator Shades
1072111	300	1	1	0	14	2	Black Leather Boots
1001002	300	1	1	0	14	1	Witch Hat
1002224	300	1	1	0	14	2	Tiger Mask
1002314	300	1	1	0	14	2	Zombie Mushroom Hat
1002312	300	1	1	0	14	2	Evil Watermelon Hat
1002031	300	1	1	0	14	2	Cat Hat
1002470	300	1	1	0	14	2	Welding Mask
1051002	300	1	1	0	14	1	Dr. Faymus
1050017	300	1	1	0	14	0	Yellow Tights
1051048	300	1	1	0	14	1	Witch Clothes
1022029	300	1	1	0	14	2	Spinning Piglet
1002190	3500	1	1	0	90	2	Blue Pre-School Hat
1002191	3500	1	1	0	90	2	Red Pre-School Hat
1022004	3700	1	1	0	90	2	Mr. Smith
1052025	4600	1	1	0	90	2	Denim Overall
1040078	3000	1	1	0	90	0	Pre-School Uniform Top
1041073	3000	1	1	0	90	1	Pre-School Uniform Top
1060067	2400	1	1	0	90	0	Pre-School Pants
1062003	2700	1	1	0	90	2	Red Hip-Hop Pants
1061068	2400	1	1	0	90	1	Pre-School Uniform Skirt
1072189	1800	1	1	0	90	2	Bunny Slippers
1002469	4000	1	1	0	90	2	Jester Hat
1012029	2700	1	1	0	90	2	Jester Mask
1002186	1800	1	1	0	90	2	Transparent Hat
5150000	2100	1	1	0	90	2	Mixed Golem
5151000	2100	1	1	0	90	2	Henesys Hair Color Coupon (REG)
5120008	3000	11	1	0	90	2	Sprinkled Maple Leaves
1002226	4100	1	1	0	90	2	Fashionable Hat
1041000	4100	1	1	0	90	1	Blue Frill Blouse
1002232	3500	1	1	0	90	2	Starry Red Beanie
1042033	4100	1	1	0	90	2	Beige Double-Coat
1022008	3500	1	1	0	90	2	Burnt Sword
1052029	5100	1	1	0	90	2	Premium Trenchcoat
1002203	3500	1	1	0	90	2	Yellow Rain Cap
1002235	4300	1	1	0	90	2	Sky Blue Goggled Beanie
1002250	4100	1	1	0	90	2	Headphone Bandana
1042017	3500	1	1	0	90	2	Sky Blue Snowboard Top
1042021	3500	1	1	0	90	2	Starry Layered Combo
1042013	3700	1	1	0	90	2	Green Snowboard Top
1052005	3900	1	1	0	90	2	Dr. Feeble
1050032	4300	1	1	0	90	0	Silver Officer Uniform
1022020	4000	1	1	0	90	2	Metal Shades
1022025	3700	1	1	0	90	2	Red Hearted Eye Patch
1002343	4100	1	1	0	90	2	White Beanie
1002367	4500	1	1	0	90	2	Angel Halo
1002368	3700	1	1	0	90	2	Reindeer Hat
1042036	3700	1	1	0	90	2	Christmas Padded Jacket
1052030	3500	1	1	0	90	2	Toga
1051049	3000	1	1	0	90	1	Mrs. Claus Costume
1012007	2700	1	1	0	90	2	Trainer Frod
1702004	3900	1	1	0	90	2	Angel Wand
1702008	4100	1	1	0	90	2	Santa Sack
5120004	3000	11	1	0	90	2	Sprinkled Presents
1102005	3700	1	1	0	90	2	Kizan
5000000	4900	1	1	0	0	2	Bullet Time
5000001	4900	1	1	0	0	2	Brown Puppy
5000014	6700	1	1	0	0	2	Rudolph
1812000	2400	1	1	0	90	2	Meso Magnet
1002266	3900	1	1	0	90	2	Basic Earmuff
1072217	2100	1	1	0	90	2	Beige Golashes
1112109	4000	1	1	0	90	2	Scoreboard Label Ring
1002352	3900	1	1	0	90	2	Red Knitted Hat
1002356	3700	1	1	0	90	2	Yellow Kitty Beanie
1002228	3000	1	1	0	90	2	Cabbie
1012005	2700	1	1	0	90	2	Cloy
1022024	3700	1	1	0	90	2	Skull Patch
1072010	1800	1	1	0	90	2	Black Dress Shoes
1802000	2000	1	1	0	90	2	Red Ribbon
1112212	4500	1	1	0	90	2	Silver-Blue Quote Ring
5150004	2100	1	1	0	90	2	Orbis Hair Style Coupon (REG)
5151004	2100	1	1	0	90	2	Orbis Hair Color Coupon (REG)
1022023	3700	1	1	0	90	2	Crested Eye Patch
1042051	3500	1	1	0	90	2	Bomber Jacket
1042053	3700	1	1	0	90	2	Blue Wool Jacket
1062045	2400	1	1	0	90	2	Patched Denim Jeans
1812001	2400	1	1	0	90	2	Item Pouch
1112108	4000	1	1	0	90	2	Butterfly Label Ring
1702010	3500	1	1	0	90	2	Orange Toy Hammer
5120002	3000	11	1	0	90	2	Lioner
5152004	2100	1	1	0	90	2	Orbis Face Coupon (REG)
5160002	1000	1	1	0	90	2	Sweetness
1112209	4500	1	1	0	90	2	Blue-Hearted Quote Ring
5160004	1000	1	1	0	90	2	Wink
5160005	1000	1	1	0	90	2	Ouch
5000003	5100	1	1	0	0	2	Mini Kargo
1802014	2400	1	1	0	90	2	Mini Kargo Wings
5153001	2700	1	1	0	90	2	Orbis Skin Coupon
1082102	1800	1	1	0	90	2	Transparent Gloves
1702020	4100	1	1	0	90	2	Lollipop
1702024	3900	1	1	0	90	2	Cupid's Bow
1702025	3900	1	1	0	90	2	Cherub's Bow
1702026	3900	1	1	0	90	2	Cupid's Crossbow
1112001	6000	1	1	0	90	2	Crush Ring
5120005	3000	11	1	0	90	2	Sprinkled Chocolate
5120007	3000	11	1	0	90	2	Sprinkled Candy
5140000	1800	1	1	0	90	2	White Fang
5160009	1000	1	1	0	90	2	Goo Goo
1802006	2400	1	1	0	90	2	Blue Top Hat
1802007	2400	1	1	0	90	2	Red Top Hat
1002421	3900	1	1	0	90	2	Pink Knitted Beanie
1002422	3900	1	1	0	90	2	Blue Knitted Beanie
1002423	3900	1	1	0	90	2	Yellow Knitted Beanie
1012028	2400	1	1	0	90	2	Blush
1041125	3100	1	1	0	90	1	Rainbow Knit
1041134	3500	1	1	0	90	1	Angora Mustang
1060114	1800	1	1	0	90	0	Washed Jeans
1072153	1500	1	1	0	90	2	Transparent Shoes
1702017	3500	1	1	0	90	2	Pink Rabbit Puppet
1702013	3500	1	1	0	90	2	Teddy Bear
1112210	4500	1	1	0	90	2	Gold-Yellow Quote Ring
5050000	3100	1	1	0	90	2	AP Reset
1002299	3900	1	1	0	90	2	Cubic Newsie Hat
1040124	2700	1	1	0	90	0	Crusader T-Shirt
1040125	3500	1	1	0	90	0	Military Cargo Jacket
1062038	2700	1	1	0	90	2	Hip Hop Jeans
1102039	1800	1	1	0	90	2	Transparent Cape
5050001	2400	1	1	0	90	2	SP Reset (1st job)
1012000	2700	1	1	0	90	2	Regular Cab
1042038	2400	1	1	0	90	2	Red Sweater
1102007	3100	1	1	0	90	2	Kia
1102008	3100	1	1	0	90	2	Kisha
5150006	2100	1	1	0	90	2	Ludibrium Hair Style Coupon (REG)
5151006	2100	1	1	0	90	2	Ludibrium Hair Color Coupon (REG)
1002428	3700	1	1	0	90	2	Beige Checkered Hat
1001013	100	1	1	0	90	1	Beret
1072013	100	1	1	0	90	2	Red Air H's
1072057	100	1	1	0	90	2	Blue Air H's
1102009	100	1	1	0	90	2	Neinheart
1102010	100	1	1	0	90	2	Black Star Cape
5000004	100	1	1	0	0	2	Black Kitty
1802001	100	1	1	0	90	2	Yellow Hat
1072058	100	1	1	0	90	2	Black Air H's
5152006	100	1	1	0	90	2	Ludibrium Face Coupon (REG)
5160001	100	1	1	0	90	2	Panicky
1802002	100	1	1	0	90	2	Red Hat
1802003	100	1	1	0	90	2	Black Hat
1002429	100	1	1	0	90	2	Meshcap
1050111	100	1	1	0	90	0	Boxer Trunks
1051112	100	1	1	0	90	1	Boxing Gear (F)
