"MobID","Level","MaxHP","EXP"
"9300361","1","10","1"
"9300360","1","10","1"
"9300359","1","10","1"
"9300362","1","10","1"
"9300365","1","10","1"
"9300364","1","10","1"
"9300363","1","10","1"
"9300325","200","99999999","1"
"9300315","51","3500","1"
"9300314","200","10","1"
"9300328","1","9","1"
"9300358","1","10","1"
"9300357","1","10","1"
"9300356","1","30","1"
"9409000","1","8","1"
"9400564","100","?","1"
"9300013","200","99999","1"
"9409001","1","8","1"
"9500304","20","?","1"
"9500303","20","?","1"
"9500194","20","?","1"
"9400200","55","4200","1"
"9300383","1","8","1"
"9300366","1","10","1"
"9400201","62","5500","1"
"9300018","1","8","1"
"9400557","30","10","1"
"9400202","1","100","1"
"9300313","200","10","1"
"9300284","10","10","1"
"9300283","10","10","1"
"9300282","10","10","1"
"9300295","100","10000","1"
"9300298","10","10","1"
"9300297","10","10","1"
"9300296","100","10000","1"
"0100130","1","8","1"
"9300279","10","10","1"
"9300280","10","10","1"
"9300281","10","10","1"
"9300278","10","10","1"
"9300275","10","10","1"
"9300276","10","10","1"
"9300277","10","10","1"
"9300308","10","160","1"
"9300307","10","3","1"
"9300306","10","3","1"
"9300312","10","10","1"
"9300310","10","10","1"
"9300309","10","10","1"
"9300305","10","3","1"
"9300301","10","10","1"
"9300299","10","10","1"
"9300300","10","10","1"
"9300304","10","3","1"
"9300303","10","3","1"
"9300302","10","10","1"
"9300316","53","4500","2"
"9300317","55","5500","3"
"0100100","1","8","3"
"0100120","1","9","4"
"9300217","2","15","4"
"9300318","57","6500","4"
"0100101","2","15","4"
"3400004","35","200","5"
"9300319","59","7500","5"
"0120100","2","20","5"
"9300339","15","200000","5"
"3400006","35","200","5"
"3400007","39","200","5"
"0100131","3","28","6"
"9300340","15","100","6"
"9300320","61","8500","6"
"0100121","3","25","7"
"9400551","2","777","7"
"9300321","63","9500","7"
"9400552","2","777","7"
"9300218","4","40","8"
"0130100","4","40","8"
"0130101","4","40","8"
"9300322","65","10500","8"
"9300219","4","40","8"
"0100122","5","45","9"
"9300323","67","11500","9"
"0100132","5","43","9"
"6400008","55","30000","10"
"6400007","48","2800","10"
"0210100","6","50","10"
"6400009","55","28000","10"
"9300223","6","50","10"
"9300270","80","10000","10"
"9500198","100","5","10"
"9500100","6","50","10"
"9300271","6","50","10"
"9500204","10","10000","10"
"9300341","6","50","10"
"9300324","69","12500","10"
"9300331","10","10","10"
"6400005","44","50000","10"
"6400006","44","50000","10"
"9500201","65","11000","10"
"9500203","7","10000","10"
"9500202","58","10000","10"
"9400646","8","500","10"
"9300081","8","80","10"
"9400634","5","500","10"
"9400645","8","500","10"
"9400636","5","500","10"
"9400573","40","100","10"
"9200005","6","50","10"
"9300062","8","80","10"
"9400505","6","50","11"
"9500192","100","10","12"
"9500300","100","10","12"
"9500199","100","10","12"
"9500301","100","10","12"
"9500193","100","?","12"
"1210102","8","80","15"
"9300272","8","80","15"
"9300342","8","80","15"
"0100133","7","70","15"
"9400241","7","75","15"
"9300273","7","75","15"
"9300058","7","75","15"
"9400617","7","75","15"
"9300229","8","80","15"
"9400614","8","80","15"
"9300156","10","300","15"
"9300343","7","75","15"
"9500102","8","80","15"
"9400655","8","80","15"
"1210100","7","75","15"
"9300274","8","80","15"
"9500101","7","75","15"
"9500196","15","15","16"
"9400712","10","10","16"
"0100123","7","70","16"
"9500195","10","10","16"
"9420001","8","75","17"
"9200002","10","250","18"
"9400620","10","250","18"
"1110101","10","250","18"
"0100134","9","95","18"
"9500144","10","120","19"
"0100124","9","100","19"
"1210101","10","120","20"
"9400722","1","1","20"
"9300059","10","120","20"
"9400714","1","1","20"
"9400242","10","120","20"
"9500317","10","3000","20"
"9400713","10","120","20"
