"Rango";"Nombre";"ID";"Nivel";"HP";"EXP";"Boss"
"30-35";"Cake Monster";"9400507";"30";"1200";"0";"NO"
"30-35";"Fierry GL";"9400526";"30";"800";"0";"NO"
"30-35";"Sentinel GL";"9400528";"30";"900";"0";"NO"
"30-35";"Moon Bunny";"9300061";"30";"5000";"0";"NO"
"30-35";"Tylus";"9300093";"30";"100000";"0";"NO"
"30-35";"Witch Bear";"9300369";"30";"7000";"0";"SI"
"30-35";"Item Maker";"9400707";"30";"1";"0";"NO"
"30-35";"Puppeteer";"9300285";"30";"10000";"0";"SI"
"30-35";"MasteriaPQ Mob Summoner";"9400600";"30";"5000";"0";"NO"
"30-35";"Ice Sentinel GL";"9400529";"30";"900";"0";"NO"
"30-35";"Psycho Jack Box";"9400557";"30";"10";"1";"NO"
"30-35";"Gift Box";"9500189";"30";"100";"50";"NO"
"30-35";"Fire Sentinel";"5200002";"30";"900";"55";"NO"
"30-35";"Cloud Fox";"9400002";"30";"920";"55";"NO"
"30-35";"Fire Raccoon";"9400001";"30";"900";"55";"NO"
"30-35";"Sentinel";"3000000";"30";"900";"55";"NO"
"30-35";"Ice Sentinel";"5200001";"30";"900";"55";"NO"
"30-35";"Krip";"3000006";"30";"900";"55";"NO"
"30-35";"Coketump Lite";"9500154";"30";"930";"56";"NO"
"30-35";"Goat";"9600004";"30";"900";"58";"NO"
"30-35";"Drumming Bunny";"9400238";"30";"950";"60";"NO"
"30-35";"Drumming Bunny";"9400247";"30";"950";"60";"NO"
"30-35";"Blue Boogie";"9400006";"30";"1050";"60";"NO"
"30-35";"Drumming Bunny";"3230400";"30";"950";"60";"NO"
"30-35";"Brown Tanny";"9200015";"30";"950";"60";"NO"
"30-35";"Possessed Bear Doll";"9400648";"30";"1300";"60";"NO"
"30-35";"Possessed Rabbit Doll";"9400649";"30";"1950";"60";"NO"
"30-35";"Brown Teddy";"3000005";"30";"950";"60";"NO"
"30-35";"Kiyo";"3100102";"30";"870";"60";"NO"
"30-35";"Drumming Bunny";"9500107";"30";"950";"60";"NO"
"30-35";"Drumming Bunny";"9200016";"30";"950";"60";"NO"
"30-35";"Renegade Spores";"3300000";"30";"750";"63";"NO"
"30-35";"Mighty Maple Eater";"9400548";"30";"950";"65";"NO"
"30-35";"Cake Mob (2nd) ";"9400512";"30";"950";"65";"NO"
"30-35";"Poison Mushroom";"3300001";"30";"780";"65";"NO"
"30-35";"Psycho Jack";"9400558";"30";"850";"73";"NO"
"30-35";"Adin ";"9100013";"30";"8000";"100";"NO"
"30-35";"Brown Teddy";"9300127";"30";"1800";"110";"NO"
"30-35";"Bloctopus ";"9300128";"30";"1800";"113";"NO"
"30-35";"Chronos ";"9300130";"30";"2300";"113";"NO"
"30-35";"Ratz";"9300129";"30";"1600";"115";"NO"
"30-35";"Tick-Tock";"9300132";"30";"2400";"117";"NO"
"30-35";"Fairy 1";"3000001";"30";"800";"120";"NO"
"30-35";"Fairy 2";"3000002";"30";"800";"120";"NO"
"30-35";"Fairy 4";"3000004";"30";"800";"120";"NO"
"30-35";"Magik Fierry B";"9400518";"30";"800";"120";"NO"
"30-35";"Robo";"9300133";"30";"3000";"120";"NO"
"30-35";"Fairy 3";"3000003";"30";"800";"120";"NO"
"30-35";"King Bloctopus";"9300134";"30";"3300";"135";"NO"
"30-35";"Master Chronos ";"9300135";"30";"3000";"153";"NO"
"30-35";"Jr. Balrog";"9500169";"30";"3094";"263";"SI"
"30-35";"Jr. Balrog";"9500327";"30";"9500";"300";"SI"
"30-35";"Rombot";"9300136";"30";"6500";"450";"SI"
"30-35";"Olivia";"9400641";"30";"50000";"2711";"SI"
"30-35";"Puppeteer";"9300345";"31";"12000";"0";"SI"
"30-35";"Chirppy";"3230307";"31";"800";"62";"NO"
"30-35";"Intoxicated Pig";"3300002";"31";"810";"68";"NO"
"30-35";"Fire Boar GL";"9400527";"32";"1000";"0";"NO"
"30-35";"Toe (Medium)";"9400315";"32";"800";"0";"NO"
"30-35";"Ligator";"9300234";"32";"1200";"60";"NO"
"30-35";"Ligator";"3110100";"32";"1200";"60";"NO"
"30-35";"Ligator";"9500108";"32";"1200";"60";"NO"
